Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3940000,0.28617477,3.7461407,3000.0,2251.646338780721,2251.646338780721,0.07314195,0.13955756,6.362573e-05,0.12120855,0.0010683063,1.0
3950000,0.17906465,3.8735871,3000.0,2289.787616610527,2289.787616610527,0.055774175,0.13750625,6.300915e-05,0.121003024,0.0010580505,1.0
3960000,0.22860405,3.8660035,3000.0,2216.8226374983788,2216.8226374983788,None,None,None,None,None,1.0
3970000,0.24295579,3.5706508,3000.0,2032.970700579385,2032.970700579385,0.14120379,0.14030923,6.239216e-05,0.12079738,0.0010477883,1.0
3980000,0.27662045,3.740835,3000.0,2284.4227280318737,2284.4227280318737,0.13487026,0.14206769,6.1775194e-05,0.12059168,0.0010375258,1.0
3990000,0.17407471,3.9005458,3000.0,2349.651589870453,2349.651589870453,0.17614004,0.13909659,6.115862e-05,0.12038616,0.0010272702,1.0
4000000,0.32839823,3.5862095,3000.0,2107.243747870127,2107.243747870127,0.04107787,0.13367581,6.054163e-05,0.120180495,0.0010170079,1.0
4010000,0.27238598,3.7629037,3000.0,2260.0914273262024,2260.0914273262024,0.18922149,0.1400368,5.992508e-05,0.11997498,0.0010067523,1.0
4020000,0.3541165,3.4507573,3000.0,1903.148854513963,1903.148854513963,0.15201798,0.14006859,5.930812e-05,0.11976934,0.00099649,1.0
4030000,0.26753047,3.6911573,3000.0,2071.5199024478593,2071.5199024478593,0.1903164,0.13479804,5.8691534e-05,0.11956382,0.0009862344,1.0
4040000,0.1684772,4.004269,3000.0,2444.025801181793,2444.025801181793,0.057465963,0.13487242,5.807455e-05,0.119358175,0.00097597216,1.0
4050000,0.42714787,3.1389508,3000.0,1952.4584255417187,1952.4584255417187,0.07087777,0.13169783,5.7457586e-05,0.11915251,0.00096570974,1.0
4060000,0.22303696,3.7547045,3000.0,1880.834975083669,1880.834975083669,0.4066428,0.14559014,5.684102e-05,0.118947,0.0009554543,1.0
4070000,0.15009594,2.888964,3000.0,1779.4943811763078,1779.4943811763078,0.053858344,0.13852935,5.6224053e-05,0.1187413,0.0009451919,1.0
4080000,0.30313465,3.6264834,3000.0,2083.9309767484665,2083.9309767484665,0.21807647,0.13708645,5.560747e-05,0.11853579,0.00093493616,1.0
4090000,0.25229114,3.7358587,3000.0,2174.3840684890747,2174.3840684890747,0.21345292,0.13668598,5.499051e-05,0.11833013,0.0009246739,1.0
4100000,0.35203803,3.3964703,3000.0,2096.7064458690584,2096.7064458690584,0.08967199,0.13947098,5.4373944e-05,0.11812461,0.00091441884,1.0
4110000,0.31576163,3.4931026,3000.0,2244.0923787355423,2244.0923787355423,0.11570989,0.14401051,5.3756983e-05,0.11791897,0.000904156,1.0
4120000,0.12659782,4.065902,3000.0,2317.8385175069175,2317.8385175069175,0.11977742,0.14088212,5.3139986e-05,0.11771332,0.0008938937,1.0
4130000,0.206276,3.863953,3000.0,2317.715332567692,2317.715332567692,0.08543286,0.12089885,5.2523435e-05,0.11750781,0.000883638,1.0
4140000,0.1786082,3.8969147,3000.0,2314.7954565684,2314.7954565684,0.05513014,0.13571021,5.1906445e-05,0.11730215,0.0008733758,1.0
4150000,0.21180946,2.9889781,3000.0,2150.5931720733643,2150.5931720733643,0.098627254,0.13392682,5.12899e-05,0.117096625,0.00086312066,1.0
4160000,0.32803077,3.2847543,3000.0,1505.372408092022,1505.372408092022,0.54470104,0.14368719,5.067291e-05,0.116890915,0.0008528578,1.0
4170000,0.16395639,3.9981651,3000.0,2363.31285127004,2363.31285127004,0.13686448,0.14082094,5.005635e-05,0.116685405,0.0008426026,1.0
4180000,0.27301213,3.7019238,3000.0,2364.4040616353354,2364.4040616353354,0.07805712,0.1312179,4.9439368e-05,0.11647976,0.00083234,1.0
4190000,0.20945673,3.5748353,3000.0,1865.8721489012241,1865.8721489012241,0.40887955,0.140513,4.882238e-05,0.11627411,0.00082207756,1.0
4200000,0.16753203,3.4275246,3000.0,1752.063007593155,1752.063007593155,0.7874163,0.13919933,4.820582e-05,0.1160686,0.00081182184,1.0
4210000,0.25946975,3.7589896,3000.0,2147.3026706377664,2147.3026706377664,0.09142771,0.14194533,4.7588837e-05,0.115862936,0.0008015596,1.0
4220000,0.14195734,2.944435,3000.0,1923.2140665389597,1923.2140665389597,0.030847548,0.13871399,4.6972298e-05,0.11565742,0.0007913042,1.0
4230000,0.2686868,3.6074848,3000.0,2129.2180592219033,2129.2180592219033,0.24481185,0.14053471,4.6355308e-05,0.11545172,0.0007810418,1.0
4240000,0.27293485,3.6325676,3000.0,2141.9458280007043,2141.9458280007043,0.13050161,0.13574035,4.5738743e-05,0.115246214,0.0007707864,1.0
4250000,0.20735484,3.3544776,3000.0,2070.612280637026,2070.612280637026,0.13559146,0.13800094,4.5121764e-05,0.11504054,0.0007605237,1.0
4260000,0.27446195,3.6583467,3000.0,2079.5554357767105,2079.5554357767105,0.60396266,0.14128809,4.4504777e-05,0.1148349,0.0007502614,1.0
4270000,0.20660338,3.7937214,3000.0,2233.2791263759136,2233.2791263759136,0.22006825,0.14271192,4.388823e-05,0.11462938,0.0007400062,1.0
4280000,0.1784341,3.8198118,3000.0,2312.585184454918,2312.585184454918,0.058589775,0.13467932,4.3271248e-05,0.114423744,0.0007297437,1.0
4290000,0.18148787,3.5414472,3000.0,1955.5794399480026,1955.5794399480026,0.29506916,0.14613418,4.2654687e-05,0.11421821,0.000719488,1.0
4300000,0.32638976,3.342943,3000.0,2140.7123593091965,2140.7123593091965,0.22732715,0.14304772,4.2037707e-05,0.11401252,0.0007092257,1.0
4310000,0.15105185,3.9419622,3000.0,2113.981940679252,2113.981940679252,0.492723,0.13923235,4.1421157e-05,0.113806985,0.0006989705,1.0
4320000,0.2428223,3.648682,3000.0,2161.988387386004,2161.988387386004,0.06332309,0.13189061,4.0804167e-05,0.11360135,0.0006887081,1.0
4330000,0.24117465,3.722862,3000.0,2167.9957444667816,2167.9957444667816,None,None,None,None,None,1.0
4340000,0.1809662,3.739913,3000.0,2302.0738407075405,2302.0738407075405,0.06426129,0.13534723,4.0187202e-05,0.1133957,0.0006784455,1.0
4350000,0.18717676,3.5940325,3000.0,2409.6103064219155,2409.6103064219155,0.1775516,0.13236691,3.9570623e-05,0.11319019,0.00066819,1.0
4360000,0.30376425,2.0989046,3000.0,923.6664289633433,923.6664289633433,0.19508053,0.13319664,3.8953647e-05,0.11298454,0.0006579276,1.0
4370000,0.28195578,3.683306,3000.0,1976.4593331813812,1976.4593331813812,0.62247366,0.13845254,3.8337083e-05,0.11277901,0.00064767187,1.0
4380000,0.16789329,3.8774376,3000.0,2281.267042994499,2281.267042994499,0.08556769,0.14244115,3.77201e-05,0.112573355,0.0006374094,1.0
4390000,0.26966316,3.428841,3000.0,2077.3930724461875,2077.3930724461875,0.060082726,0.13519311,3.710355e-05,0.11236784,0.00062715437,1.0
4400000,0.2483061,3.1520503,3000.0,1825.182696595788,1825.182696595788,0.46925822,0.13702646,3.6486577e-05,0.11216214,0.00061689183,1.0
4410000,0.41090173,2.4679413,3000.0,1344.6396814535062,1344.6396814535062,0.29328293,0.13788006,3.5869594e-05,0.111956485,0.0006066295,1.0
4420000,0.19011667,3.9123392,3000.0,2174.2843771775565,2174.2843771775565,0.44691905,0.13500479,3.525303e-05,0.11175097,0.00059637375,1.0
4430000,0.15624139,3.9039738,3000.0,2317.2652827501297,2317.2652827501297,0.07185142,0.13409354,3.4636054e-05,0.11154532,0.00058611145,1.0
4440000,0.15614027,3.9800441,3000.0,2396.042407989502,2396.042407989502,0.08272266,0.13629816,3.4019493e-05,0.1113398,0.00057585613,1.0
4450000,0.18334469,3.0754857,3000.0,2294.4548629919686,2294.4548629919686,0.044584226,0.14158261,3.3402517e-05,0.111134164,0.0005655937,1.0
4460000,0.18038967,3.6491542,3000.0,1651.4214891642332,1651.4214891642332,0.40255305,0.13718085,3.2785534e-05,0.110928506,0.00055533135,1.0
4470000,0.16403428,3.828794,3000.0,2282.15025583903,2282.15025583903,0.03252152,0.13814944,3.2168962e-05,0.110722974,0.0005450756,1.0
4480000,0.18136534,3.6205535,3000.0,2232.575072740515,2232.575072740515,0.102019645,0.1447579,3.1551986e-05,0.11051729,0.0005348132,1.0
4490000,0.28299627,3.4332228,3000.0,1950.8806568980217,1950.8806568980217,0.18137656,0.14197497,3.0935444e-05,0.11031178,0.000524558,1.0
4500000,0.29934457,3.4767296,3000.0,2122.0583204428353,2122.0583204428353,0.14664844,0.13134925,3.0318459e-05,0.110106125,0.0005142955,1.0
4510000,0.16020216,3.9641778,3000.0,2291.757123708725,2291.757123708725,0.13489486,0.13564672,2.9701887e-05,0.109900594,0.00050404004,1.0
4520000,0.17132743,3.8419034,3000.0,2308.019025683403,2308.019025683403,0.056049757,0.13514133,2.9084911e-05,0.10969494,0.00049377745,1.0
4530000,0.26769167,3.7441125,3000.0,2365.363044420878,2365.363044420878,0.036071256,0.13752906,2.8467939e-05,0.10948929,0.00048351512,1.0
4540000,0.34406886,3.4283946,3000.0,1885.2380419572194,1885.2380419572194,0.29994577,0.1362676,2.7851369e-05,0.109283775,0.00047325945,1.0
4550000,0.48031107,3.0505488,3000.0,1845.850438117981,1845.850438117981,0.17448604,0.14081669,2.7234382e-05,0.10907808,0.00046299712,1.0
4560000,0.24330467,3.7666626,3000.0,2316.686731338501,2316.686731338501,0.061786514,0.14152382,2.6617838e-05,0.10887257,0.00045274184,1.0
4570000,0.34020528,3.4857807,3000.0,2053.1720660328865,2053.1720660328865,0.078128025,0.13648888,2.6000858e-05,0.1086669,0.00044247933,1.0
4580000,0.16537711,3.8517363,3000.0,2277.4923235177994,2277.4923235177994,0.06616151,0.13388282,2.538429e-05,0.10846139,0.00043222366,1.0
4590000,0.23874407,3.8634784,3000.0,2322.108587741852,2322.108587741852,0.091115505,0.13957787,2.4767305e-05,0.10825574,0.00042196127,1.0
4600000,0.18238091,3.7770429,3000.0,2308.1067535082498,2308.1067535082498,0.08465178,0.14407706,2.415033e-05,0.1080501,0.00041169894,1.0
4610000,0.29653627,3.5968907,3000.0,2137.976672310382,2137.976672310382,0.106468566,0.13518596,2.3533772e-05,0.10784459,0.00040144369,1.0
4620000,0.2250725,3.665369,3000.0,2211.112313931187,2211.112313931187,0.07013879,0.1355871,2.2916794e-05,0.10763892,0.00039118115,1.0
4630000,0.1452867,4.0581594,3000.0,2432.3038853009543,2432.3038853009543,0.04251135,0.13382329,2.230023e-05,0.107433364,0.0003809255,1.0
4640000,0.28835618,3.6850917,3000.0,2209.839099407196,2209.839099407196,0.12799296,0.13870315,2.1683256e-05,0.10722771,0.00037066315,1.0
4650000,0.39476928,3.168613,3000.0,1632.7667538722355,1632.7667538722355,0.55066144,0.138582,2.1066702e-05,0.107022196,0.00036040787,1.0
4660000,0.23924415,3.6495647,3000.0,2058.836940129598,2058.836940129598,0.054552283,0.1373359,2.044972e-05,0.10681653,0.00035014548,1.0
4670000,0.17084076,3.7998312,3000.0,2278.4235134124756,2278.4235134124756,0.14845243,0.13434012,1.9832743e-05,0.10661089,0.00033988294,1.0
4680000,0.34416077,3.4672363,3000.0,2189.4053009351096,2189.4053009351096,0.2947988,0.13833135,1.9216173e-05,0.10640537,0.00032962748,1.0
4690000,0.30232564,3.580423,3000.0,1851.2054290175438,1851.2054290175438,None,None,None,None,None,1.0
4700000,0.3495688,3.448956,3000.0,2113.478132992983,2113.478132992983,0.06422547,0.13364854,1.8599194e-05,0.106199704,0.00031936498,1.0
4710000,0.22201546,3.7503188,3000.0,2120.1652627388635,2120.1652627388635,0.1594121,0.13633198,1.7982644e-05,0.10599419,0.0003091097,1.0
4720000,0.33543664,3.3615308,3000.0,1787.3702958375216,1787.3702958375216,0.043619554,0.1311219,1.7365663e-05,0.10578851,0.00029884727,1.0
4730000,0.25110644,3.7375383,3000.0,2281.730681911111,2281.730681911111,0.70170254,0.1502911,1.6749094e-05,0.10558298,0.0002885917,1.0
4740000,0.54307544,2.921042,3000.0,1516.318154335022,1516.318154335022,0.08590009,0.1378649,1.613212e-05,0.105377324,0.00027832924,1.0
4750000,0.120640956,4.004652,3000.0,2289.841200351715,2289.841200351715,1.0682113,0.14262676,1.5515136e-05,0.10517168,0.0002680668,1.0
4760000,0.23439786,3.6879067,3000.0,2253.5466734543443,2253.5466734543443,0.06754213,0.13304572,1.4898569e-05,0.10496616,0.00025781125,1.0
4770000,0.1935656,3.7972493,3000.0,2274.381114681562,2274.381114681562,0.08353841,0.13950108,1.4281589e-05,0.10476052,0.00024754883,1.0
4780000,0.29599696,3.4595768,3000.0,2060.2335021098456,2060.2335021098456,0.047930643,0.13958074,1.3665038e-05,0.104555,0.00023729356,1.0
4790000,0.2757655,3.461698,3000.0,2017.4240340590477,2017.4240340590477,0.3159975,0.1437725,1.3048061e-05,0.104349345,0.00022703108,1.0
4800000,0.2526389,3.591022,3000.0,2314.951828956604,2314.951828956604,0.06907349,0.13529022,1.2431494e-05,0.10414381,0.00021677556,1.0
4810000,0.20522648,3.8465762,3000.0,2067.196877082189,2067.196877082189,0.11325488,0.13225253,1.1814512e-05,0.10393813,0.0002065131,1.0
4820000,0.15422915,3.8211827,3000.0,2274.485369205475,2274.485369205475,0.055132866,0.14015217,1.1197534e-05,0.103732474,0.00019625065,1.0
